sym,fold,entry_time,exit_time,pnl,r_multiple,win,exit_type
SAND-USDT-SWAP,F4,2026-06-30T15:00:00.000,2026-07-01T01:00:00.000,-121.5036,-1.0357,0,SL
SHIB-USDT-SWAP,F3,2026-05-27T15:00:00.000,2026-05-27T21:00:00.000,-126.0454,-1.0433,0,SL
SHIB-USDT-SWAP,F3,2026-05-27T23:00:00.000,2026-05-28T03:00:00.000,-122.5895,-1.0376,0,SL
SHIB-USDT-SWAP,F4,2026-06-29T16:00:00.000,2026-06-29T17:00:00.000,188.3883,2.0,1,TP
SNX-USDT-SWAP,F1,2026-03-22T01:00:00.000,2026-03-22T10:00:00.000,-116.6501,-1.0277,0,SL
SNX-USDT-SWAP,F1,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,188.2776,2.0,1,TP
SNX-USDT-SWAP,F3,2026-05-18T21:00:00.000,2026-05-19T14:00:00.000,-116.3097,-1.0271,0,SL
SNX-USDT-SWAP,F4,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-113.0563,-1.0217,0,SL
STX-USDT-SWAP,F3,2026-05-17T03:00:00.000,2026-05-17T07:00:00.000,186.4548,2.0,1,TP
STX-USDT-SWAP,F4,2026-06-29T00:00:00.000,2026-06-29T02:00:00.000,188.1134,2.0,1,TP
SUSHI-USDT-SWAP,F1,2026-03-22T01:00:00.000,2026-03-22T10:00:00.000,-118.7018,-1.0311,0,SL
SUSHI-USDT-SWAP,F1,2026-03-30T00:00:00.000,2026-03-30T01:00:00.000,185.0951,2.0,1,TP
SUSHI-USDT-SWAP,F3,2026-05-18T01:00:00.000,2026-05-18T10:00:00.000,-116.1607,-1.0268,0,SL
SUSHI-USDT-SWAP,F4,2026-06-29T00:00:00.000,2026-06-29T17:00:00.000,190.5983,2.0,1,TP
SUSHI-USDT-SWAP,F4,2026-06-30T14:00:00.000,2026-06-30T15:00:00.000,189.1265,2.0,1,TP
XLM-USDT-SWAP,F3,2026-05-20T15:00:00.000,2026-05-20T22:00:00.000,-121.2889,-1.0354,0,SL
XLM-USDT-SWAP,F4,2026-06-28T23:00:00.000,2026-06-29T03:00:00.000,189.0705,2.0,1,TP
