sym,fold,env,entry_time,exit_time,pnl,r_multiple,win,exit_type,holding_bars
GRT-USDT-SWAP,3,,2026-02-25T22:00:00.000,2026-02-25T23:00:00.000,-116.4994,-1.0274,0,SL,1
GRT-USDT-SWAP,4,E2,2026-03-12T20:00:00.000,2026-03-12T21:00:00.000,191.3199,2.0,1,TP,1
ICP-USDT-SWAP,1,,2025-08-13T21:00:00.000,2025-08-14T08:00:00.000,-115.1826,-1.0252,0,SL,11
ICP-USDT-SWAP,3,,2026-01-14T15:00:00.000,2026-01-14T16:00:00.000,-106.6816,-1.011,0,SL,1
ICP-USDT-SWAP,3,,2026-01-14T17:00:00.000,2026-01-14T19:00:00.000,195.582,2.0,1,TP,2
ICP-USDT-SWAP,3,,2026-01-14T20:00:00.000,2026-01-14T21:00:00.000,195.9371,2.0,1,TP,1
ICP-USDT-SWAP,3,,2026-01-14T22:00:00.000,2026-01-14T23:00:00.000,-105.4384,-1.009,0,SL,1
ICP-USDT-SWAP,3,,2026-02-25T17:00:00.000,2026-02-25T20:00:00.000,192.0668,2.0,1,TP,3
ICP-USDT-SWAP,3,,2026-02-26T16:00:00.000,2026-02-26T17:00:00.000,-109.3763,-1.0155,0,SL,1
ICP-USDT-SWAP,4,,2026-04-16T19:00:00.000,2026-04-17T03:00:00.000,-115.6677,-1.026,0,SL,8
ICP-USDT-SWAP,4,,2026-05-06T17:00:00.000,2026-05-06T18:00:00.000,-106.2478,-1.0103,0,SL,1
ICP-USDT-SWAP,5,,2026-07-09T18:00:00.000,2026-07-10T04:00:00.000,-114.1462,-1.0235,0,SL,10
INJ-USDT-SWAP,1,,2025-08-13T16:00:00.000,2025-08-13T21:00:00.000,191.9903,2.0,1,TP,5
INJ-USDT-SWAP,1,,2025-08-13T22:00:00.000,2025-08-14T01:00:00.000,-110.9821,-1.0182,0,SL,3
INJ-USDT-SWAP,4,E1,2026-04-15T18:00:00.000,2026-04-15T19:00:00.000,187.3821,2.0,1,TP,1
