feat_a,val_a,feat_b,val_b,n,win_rate,profit_factor,expectancy_r
bb_width,2,hour_utc,1,178,0.33146067415730335,0.9618104726153476,-0.005617977528089901
bb_width,0,session_code,0,252,0.3412698412698413,0.9610345741902702,0.023809523809523836
rsi14,1,session_code,0,255,0.33725490196078434,0.9608978690854277,0.01176470588235301
session_code,0,regime_code,1,369,0.33875338753387535,0.957552662992786,0.016260162601625994
rsi14,0,hour_utc,0,258,0.34108527131782945,0.9573032384588749,0.023255813953488302
atr_rank_pct,0,rsi14,2,179,0.33519553072625696,0.9541964792477101,0.005586592178770888
bb_width,1,session_code,0,229,0.33624454148471616,0.9513648515854063,0.008733624454148492
ema200_slope_pct,1,regime_code,1,264,0.3371212121212121,0.9512626036549693,0.011363636363636354
atr_rank_pct,0,rel_vol,2,153,0.3333333333333333,0.95117144617795,-1.1102230246251565e-16
bb_width,0,realized_vol,1,159,0.3333333333333333,0.9505471154299614,-1.1102230246251565e-16
adx14,2,dist_from_ema200_pct,1,179,0.33519553072625696,0.9411655697264677,0.005586592178770888
rsi14,2,bb_width,0,157,0.33121019108280253,0.9411209716761647,-0.006369426751592466
realized_vol,0,rel_vol,0,196,0.34183673469387754,0.9384450592479152,0.025510204081632626
dist_from_low20_pct,0,rel_vol,0,282,0.3404255319148936,0.9381346753375769,0.021276595744680882
dist_from_ema200_pct,1,dist_from_low20_pct,0,236,0.3389830508474576,0.9378808351624733,0.016949152542372836
dist_from_ema200_pct,1,dist_from_low20_pct,2,152,0.32894736842105265,0.936675262324813,-0.013157894736842035
atr_rank_pct,2,hour_utc,0,179,0.329608938547486,0.9350189163861075,-0.011173184357541888
rsi14,0,regime_code,0,343,0.33527696793002915,0.9315902784909658,0.005830903790087438
ema200_slope_pct,0,realized_vol,2,203,0.3251231527093596,0.9283505446048762,-0.024630541871921152
bb_width,1,hour_utc,0,206,0.3300970873786408,0.9276218167381729,-0.009708737864077555
bb_width,1,rel_vol,0,188,0.3351063829787234,0.9275973480446249,0.005319148936170248
hour_utc,1,session_code,1,487,0.3264887063655031,0.9262728671451792,-0.02053388090349073
bb_width,2,regime_code,1,359,0.32590529247910865,0.9242980175357268,-0.02228412256267409
adx14,2,rsi14,0,147,0.3333333333333333,0.9238414835463096,-1.1102230246251565e-16
realized_vol,1,session_code,1,272,0.3272058823529412,0.9228715056760233,-0.018382352941176516
atr_rank_pct,1,rsi14,0,208,0.3317307692307692,0.9219892467485956,-0.004807692307692402
ema200_slope_pct,1,realized_vol,2,144,0.3263888888888889,0.9211763704419029,-0.02083333333333337
adx14,0,dist_from_low20_pct,1,195,0.3282051282051282,0.921049277003873,-0.015384615384615441
adx14,1,rsi14,0,204,0.3333333333333333,0.9188813861055424,-1.1102230246251565e-16
dist_from_ema200_pct,2,regime_code,0,221,0.3257918552036199,0.9173429024908147,-0.022624434389140302
rsi14,2,bb_width,1,183,0.3224043715846995,0.9153273224333556,-0.032786885245901565
hour_utc,1,regime_code,0,302,0.32450331125827814,0.9133957348334122,-0.026490066225165587
hour_utc,1,regime_code,1,263,0.3231939163498099,0.9130963008915477,-0.03041825095057038
adx14,2,hour_utc,0,214,0.32710280373831774,0.9126924851222308,-0.018691588785046842
atr_rank_pct,0,regime_code,1,292,0.3287671232876712,0.9103186036876078,-0.013698630136986356
bb_width,2,session_code,1,240,0.32083333333333336,0.9101341801306382,-0.03749999999999998
bb_width,1,hour_utc,1,198,0.32323232323232326,0.9097377152767413,-0.030303030303030165
atr_rank_pct,1,session_code,1,220,0.32272727272727275,0.9094244274008305,-0.031818181818181746
rsi14,0,dist_from_low20_pct,0,377,0.33156498673740054,0.9089261111185855,-0.0053050397877983935
bb_width,2,rel_vol,2,186,0.3172043010752688,0.9084858171778272,-0.048387096774193616
adx14,0,realized_vol,1,191,0.32460732984293195,0.9055301057354478,-0.02617801047120416
session_code,1,regime_code,1,342,0.3216374269005848,0.9047372480344463,-0.03508771929824561
dist_from_ema200_pct,0,realized_vol,2,156,0.32051282051282054,0.9043501280382888,-0.038461538461538436
adx14,1,bb_width,1,208,0.32211538461538464,0.8992077704939262,-0.033653846153846145
rsi14,2,realized_vol,0,180,0.32222222222222224,0.8976352406993311,-0.033333333333333326
adx14,0,session_code,1,295,0.3220338983050847,0.8962784405891623,-0.03389830508474578
