rank,depth,n,win_rate,profit_factor,boot_p5,boot_p50,boot_p95,mc_prob_profit,max_drawdown,sharpe,net_pnl,sym_floor,fold_floor,env_bars,overlap_varg,independent,n_families,score,verdict,conditions,cond_ids
11,4,163,0.4847,1.5914,1.23,1.5888,2.0392,0.998,-0.064,1687581.8288,5600.4,1.506,1.2086,917,0.0,True,2,7,PROMOTE,ADX>p50 · Dist>p75 · Wed-Thu · US(14-21UTC),ADX_TR|DST_FR|MIDWK|US
12,4,59,0.4915,1.5772,1.043,1.5725,2.401,0.961,-0.0627,43294197.8909,2006.46,1.4574,1.1069,231,0.0,True,4,7,PROMOTE,Dist<p33 · PrevRng>p80 · RealVol<p33 · US(14-21UTC),DST_NR|PRG_VH|RV_LO|US
13,3,41,0.5122,1.5724,0.9423,1.5627,2.6299,0.915,-0.0568,113133312.8346,1406.51,1.2608,1.3399,305,0.1286,True,3,7,PROMOTE,ATR<p25 · Dist>p60 · BodyPct>p60,ATR_LO|DST_MD|PBP_HI
14,4,41,0.5122,1.5724,0.9423,1.5627,2.6299,0.915,-0.0568,113133312.8346,1406.51,1.2608,1.3399,305,0.1286,True,3,7,PROMOTE,ATR<p25 · Dist>p60 · BodyPct>p60 · Slope>0,ATR_LO|DST_MD|PBP_HI|SLP_UP
15,4,141,0.4823,1.5709,1.168,1.5747,2.0908,0.993,-0.0758,1921772.5858,4723.11,1.4752,1.1617,910,0.0,True,3,7,PROMOTE,ADX>p67 · Dist>p75 · Wed-Thu · BodyPct>p60,ADX_ST|DST_FR|MIDWK|PBP_HI
16,4,206,0.4854,1.5681,1.2441,1.5741,1.9699,1.0,-0.0946,337781.9386,6892.77,1.4684,1.3474,1041,0.0,True,3,7,PROMOTE,Dist>p60 · Wed-Thu · PrevBody>p67 · US(14-21UTC),DST_MD|MIDWK|PBD_HI|US
17,4,219,0.484,1.5206,1.2141,1.5217,1.8962,0.9985,-0.0743,80260.596,6845.11,1.4593,1.205,903,0.0,True,4,7,PROMOTE,PrevRng>p80 · RealVol<p33 · Slope<0 · US(14-21UTC),PRG_VH|RV_LO|SLP_DN|US
18,4,261,0.4713,1.5178,1.2351,1.5146,1.8571,0.999,-0.0839,27375.737,8026.7,1.4353,1.4381,1396,0.0,True,4,7,PROMOTE,ATR>p67 · Dist>p75 · BodyPct>p60 · US(14-21UTC),ATR_HI|DST_FR|PBP_HI|US
19,4,316,0.4747,1.4991,1.2532,1.508,1.8122,1.0,-0.0682,7474.4581,9477.97,1.4405,1.0463,2030,0.0,True,3,7,PROMOTE,ATR>p67 · Dist>p60 · Wed-Thu · US(14-21UTC),ATR_HI|DST_MD|MIDWK|US
20,4,109,0.4771,1.4716,1.0839,1.4783,2.0011,0.973,-0.0916,257640.2796,3153.71,1.3175,1.0975,455,0.0,True,4,7,PROMOTE,ADX>p50 · PrevRng>p80 · RealVol<p33 · US(14-21UTC),ADX_TR|PRG_VH|RV_LO|US
21,4,281,0.4804,1.4625,1.209,1.4659,1.7813,1.0,-0.0992,6437.5938,8009.26,1.3933,1.2399,1620,0.0,True,3,7,PROMOTE,BB<p33 · Dist<p33 · PrevRng>p67 · RealVol<p33,BB_TG|DST_NR|PRG_HI|RV_LO
22,4,73,0.4658,1.4423,0.9721,1.4413,2.1465,0.9395,-0.0802,158899.6564,1965.39,1.2239,1.162,573,0.1571,True,3,7,PROMOTE,ADX<p33 · Asia(0-7UTC) · BB<p50 · Dist>p60,ADX_WK|ASIA|BB_MD|DST_MD
23,4,46,0.4783,1.435,0.8423,1.4371,2.3727,0.8895,-0.1052,300541.4956,1234.94,1.2323,1.0863,433,0.2429,True,2,7,PROMOTE,ADX<p33 · ATR<p40 · BB<p33 · Dist>p60,ADX_WK|ATR_MD|BB_TG|DST_MD
24,3,51,0.4706,1.4306,0.8758,1.4298,2.2871,0.8825,-0.0633,209330.9665,1354.11,1.2959,1.0556,401,0.3714,False,3,7,PROMOTE,ATR<p40 · Dist>p75 · Eur(8-15UTC),ATR_MD|DST_FR|EUR
25,4,51,0.4706,1.4306,0.8758,1.4298,2.2871,0.8825,-0.0633,209330.9665,1354.11,1.2959,1.0556,401,0.3714,False,3,7,PROMOTE,ATR<p40 · Dist>p75 · Eur(8-15UTC) · Slope>0,ATR_MD|DST_FR|EUR|SLP_UP
26,3,197,0.4569,1.4221,1.1287,1.4217,1.7948,0.993,-0.063,6327.4409,5094.99,1.3538,1.0012,1149,0.0286,True,2,7,PROMOTE,Dist>p75 · US(14-21UTC) · Wed-Thu,DST_FR|US|MIDWK
27,4,73,0.4658,1.422,0.9561,1.4212,2.0915,0.932,-0.0332,88062.1186,1907.48,1.2967,1.0974,520,0.0,True,3,7,PROMOTE,ATR<p25 · PrevRng>p67 · RealVol<p33 · Slope<0,ATR_LO|PRG_HI|RV_LO|SLP_DN
28,4,55,0.4545,1.4189,0.9014,1.4167,2.1989,0.894,-0.0519,94797.5786,1410.56,1.2468,1.1894,308,0.0286,True,3,7,PROMOTE,ADX<p33 · Asia(0-7UTC) · Dist>p60 · PrevBody>p67,ADX_WK|ASIA|DST_MD|PBD_HI
29,4,95,0.4632,1.4186,0.998,1.4161,1.9869,0.9475,-0.052,45006.8553,2459.51,1.3162,1.2517,378,0.0,True,3,7,PROMOTE,ADX<p33 · PrevRng>p80 · RealVol<p33 · Slope<0,ADX_WK|PRG_VH|RV_LO|SLP_DN
30,4,323,0.4551,1.4153,1.1732,1.4137,1.7011,0.999,-0.1381,862.5389,8253.13,1.3056,1.3527,2660,0.0,True,3,7,PROMOTE,ADX>p67 · ATR>p67 · Dist>p75 · US(14-21UTC),ADX_ST|ATR_HI|DST_FR|US
31,4,128,0.4531,1.4074,1.041,1.4155,1.887,0.9665,-0.0687,13498.1013,3213.29,1.2786,1.2249,621,0.0,True,3,7,PROMOTE,ATR>p67 · Dist>p75 · Eur(8-15UTC) · US(14-21UTC),ATR_HI|DST_FR|EUR|US
32,4,144,0.4653,1.4039,1.0632,1.3995,1.8221,0.978,-0.0823,11011.266,3637.58,1.3495,1.2596,650,0.0,True,3,7,PROMOTE,BB<p50 · Dist<p33 · PrevRng>p80 · RealVol<p33,BB_MD|DST_NR|PRG_VH|RV_LO
33,4,172,0.4535,1.4027,1.0823,1.4024,1.7947,0.983,-0.0839,5428.7946,4284.23,1.3248,1.1203,1157,0.0143,True,3,7,PROMOTE,ADX>p50 · Dist>p75 · Wed-Thu · BodyPct>p60,ADX_TR|DST_FR|MIDWK|PBP_HI
34,3,42,0.4762,1.4014,0.8509,1.4062,2.3029,0.87,-0.0464,108273.926,1068.1,1.239,1.1583,360,0.1714,True,3,7,PROMOTE,ATR<p25 · Dist>p60 · Eur(8-15UTC),ATR_LO|DST_MD|EUR
35,4,42,0.4762,1.4014,0.8509,1.4062,2.3029,0.87,-0.0464,108273.926,1068.1,1.239,1.1583,360,0.1714,True,3,7,PROMOTE,ATR<p25 · Dist>p60 · Eur(8-15UTC) · Slope>0,ATR_LO|DST_MD|EUR|SLP_UP
36,4,96,0.4688,1.4008,1.0022,1.4036,1.9587,0.9515,-0.0593,28408.0517,2426.9,1.298,1.2282,547,0.0,True,3,7,PROMOTE,ADX<p33 · Dist<p33 · PrevRng>p67 · RealVol<p33,ADX_WK|DST_NR|PRG_HI|RV_LO
37,4,358,0.4665,1.399,1.1762,1.3986,1.672,0.9995,-0.0964,445.8108,8970.65,1.3432,1.1382,1553,0.0,True,3,7,PROMOTE,BB<p50 · PrevRng>p80 · RealVol<p33 · Slope<0,BB_MD|PRG_VH|RV_LO|SLP_DN
38,4,255,0.4627,1.3882,1.1313,1.3869,1.7108,0.998,-0.0836,1147.7723,6217.8,1.3448,1.1247,1046,0.0,True,3,7,PROMOTE,BB<p33 · PrevRng>p80 · RealVol<p33 · Slope<0,BB_TG|PRG_VH|RV_LO|SLP_DN
39,3,57,0.4561,1.3861,0.8912,1.3845,2.225,0.884,-0.0802,26226.8765,1370.05,1.2366,1.1008,483,0.0,True,2,7,PROMOTE,ATR>p67 · BB<p33 · Dist>p75,ATR_HI|BB_TG|DST_FR
40,4,57,0.4561,1.3861,0.8912,1.3845,2.225,0.884,-0.0802,26226.8765,1370.05,1.2366,1.1008,483,0.0,True,2,7,PROMOTE,ATR>p67 · BB<p33 · Dist>p75 · Slope>0,ATR_HI|BB_TG|DST_FR|SLP_UP
41,4,198,0.4646,1.3851,1.1028,1.3866,1.7603,0.9895,-0.1278,2457.9718,4809.82,1.3432,1.0215,565,0.0,True,3,7,PROMOTE,Eur(8-15UTC) · PrevRng>p80 · RealVol<p33 · US(14-21UTC),EUR|PRG_VH|RV_LO|US
42,4,183,0.4481,1.3753,1.0726,1.3739,1.7615,0.982,-0.0728,1808.1998,4281.31,1.2998,1.1856,1152,0.0,True,4,7,PROMOTE,ATR>p67 · Dist>p75 · Wed-Thu · BodyPct>p60,ATR_HI|DST_FR|MIDWK|PBP_HI
43,4,58,0.4483,1.3746,0.887,1.3793,2.1066,0.8885,-0.0436,14113.2775,1348.75,1.2914,1.224,344,0.0429,True,3,7,PROMOTE,ADX<p33 · Asia(0-7UTC) · Dist>p60 · BodyPct>p60,ADX_WK|ASIA|DST_MD|PBP_HI
44,4,111,0.4414,1.3699,1.0166,1.3731,1.8918,0.9605,-0.0573,4127.953,2542.56,1.2715,1.1378,532,0.0,True,3,7,PROMOTE,Dist>p75 · Wed-Thu · BodyPct>p60 · PrevRng>p80,DST_FR|MIDWK|PBP_HI|PRG_VH
