env,sym,fold,entry_time,exit_time,pnl,r_multiple,win,exit_type
E3,FIL-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,189.5374,2.0,1,TP
E3,FIL-USDT-SWAP,F5,2026-07-24T15:00:00.000,2026-07-25T19:00:00.000,186.4361,2.0,1,TP
E3,AAVE-USDT-SWAP,F1,2026-03-22T01:00:00.000,2026-03-22T08:00:00.000,-120.6254,-1.0343,0,SL
E3,AAVE-USDT-SWAP,F1,2026-03-30T00:00:00.000,2026-03-30T01:00:00.000,187.2421,2.0,1,TP
E3,AAVE-USDT-SWAP,F1,2026-03-30T02:00:00.000,2026-03-30T08:00:00.000,188.4642,2.0,1,TP
E3,AAVE-USDT-SWAP,F1,2026-03-31T18:00:00.000,2026-04-01T06:00:00.000,190.5395,2.0,1,TP
E3,ALGO-USDT-SWAP,F1,2026-03-22T01:00:00.000,2026-03-22T10:00:00.000,-122.0314,-1.0366,0,SL
E3,COMP-USDT-SWAP,F3,2026-05-29T17:00:00.000,2026-05-29T18:00:00.000,-121.0074,-1.0349,0,SL
E3,CRV-USDT-SWAP,F1,2026-03-23T13:00:00.000,2026-03-23T15:00:00.000,-112.2575,-1.0203,0,SL
E3,CRV-USDT-SWAP,F1,2026-03-30T00:00:00.000,2026-03-30T01:00:00.000,188.5387,2.0,1,TP
E3,EGLD-USDT-SWAP,F1,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,182.0952,2.0,1,TP
E3,EGLD-USDT-SWAP,F4,2026-06-10T13:00:00.000,2026-06-10T18:00:00.000,-115.9703,-1.0265,0,SL
E3,EGLD-USDT-SWAP,F4,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-120.9306,-1.0348,0,SL
E3,ETC-USDT-SWAP,F3,2026-05-29T16:00:00.000,2026-05-29T18:00:00.000,-117.6352,-1.0293,0,SL
E3,FET-USDT-SWAP,F4,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-112.8245,-1.0213,0,SL
E3,GALA-USDT-SWAP,F1,2026-03-30T00:00:00.000,2026-03-30T01:00:00.000,189.3656,2.0,1,TP
E3,GALA-USDT-SWAP,F4,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-116.8454,-1.028,0,SL
E3,GALA-USDT-SWAP,F4,2026-06-28T16:00:00.000,2026-06-28T17:00:00.000,-119.179,-1.0319,0,SL
E3,GMX-USDT-SWAP,F1,2026-03-22T01:00:00.000,2026-03-22T03:00:00.000,187.1876,2.0,1,TP
E3,GMX-USDT-SWAP,F1,2026-03-27T12:00:00.000,2026-03-27T13:00:00.000,187.7025,2.0,1,TP
E3,GRT-USDT-SWAP,F1,2026-03-27T12:00:00.000,2026-03-28T01:00:00.000,-122.9207,-1.0381,0,SL
E3,GRT-USDT-SWAP,F4,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-116.1054,-1.0267,0,SL
E3,HBAR-USDT-SWAP,F1,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,183.5072,2.0,1,TP
E3,ICP-USDT-SWAP,F1,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,185.0723,2.0,1,TP
E3,ICP-USDT-SWAP,F3,2026-05-18T01:00:00.000,2026-05-18T07:00:00.000,-114.5959,-1.0242,0,SL
E3,IMX-USDT-SWAP,F1,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,188.0683,2.0,1,TP
E3,IMX-USDT-SWAP,F5,2026-07-01T01:00:00.000,2026-07-01T14:00:00.000,189.4372,2.0,1,TP
E3,INJ-USDT-SWAP,F1,2026-03-30T00:00:00.000,2026-03-30T01:00:00.000,185.4529,2.0,1,TP
E3,INJ-USDT-SWAP,F4,2026-06-20T15:00:00.000,2026-06-21T16:00:00.000,-111.8493,-1.0197,0,SL
E3,LDO-USDT-SWAP,F3,2026-05-18T01:00:00.000,2026-05-18T10:00:00.000,-115.2125,-1.0253,0,SL
E3,LDO-USDT-SWAP,F4,2026-06-10T14:00:00.000,2026-06-10T16:00:00.000,-113.8052,-1.0229,0,SL
E3,LDO-USDT-SWAP,F4,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-113.7068,-1.0227,0,SL
E3,SHIB-USDT-SWAP,F3,2026-05-27T23:00:00.000,2026-05-28T03:00:00.000,-122.5895,-1.0376,0,SL
E3,SNX-USDT-SWAP,F1,2026-03-22T01:00:00.000,2026-03-22T10:00:00.000,-116.6501,-1.0277,0,SL
E3,SNX-USDT-SWAP,F1,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,188.2776,2.0,1,TP
E3,SNX-USDT-SWAP,F3,2026-05-18T21:00:00.000,2026-05-19T14:00:00.000,-116.3097,-1.0271,0,SL
E3,SNX-USDT-SWAP,F4,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-113.0563,-1.0217,0,SL
E3,STX-USDT-SWAP,F3,2026-05-17T03:00:00.000,2026-05-17T07:00:00.000,186.4548,2.0,1,TP
E3,SUSHI-USDT-SWAP,F1,2026-03-22T01:00:00.000,2026-03-22T10:00:00.000,-118.7018,-1.0311,0,SL
E3,SUSHI-USDT-SWAP,F1,2026-03-30T00:00:00.000,2026-03-30T01:00:00.000,185.0951,2.0,1,TP
E3,SUSHI-USDT-SWAP,F3,2026-05-18T01:00:00.000,2026-05-18T10:00:00.000,-116.1607,-1.0268,0,SL
E3,XLM-USDT-SWAP,F4,2026-06-28T23:00:00.000,2026-06-29T03:00:00.000,189.0705,2.0,1,TP
E8,BTC-USDT-SWAP,F1,2026-02-16T13:00:00.000,2026-02-16T14:00:00.000,-125.3664,-1.0422,0,SL
E8,BTC-USDT-SWAP,F1,2026-02-25T15:00:00.000,2026-02-25T16:00:00.000,186.5208,2.0,1,TP
E8,BTC-USDT-SWAP,F5,2026-07-14T15:00:00.000,2026-07-14T22:00:00.000,180.8606,2.0,1,TP
E8,BTC-USDT-SWAP,F5,2026-07-17T15:00:00.000,2026-07-17T17:00:00.000,178.1534,2.0,1,TP
E8,ETH-USDT-SWAP,F2,2026-03-23T14:00:00.000,2026-03-23T15:00:00.000,-112.2089,-1.0203,0,SL
E8,ETH-USDT-SWAP,F2,2026-03-31T14:00:00.000,2026-03-31T15:00:00.000,-116.7998,-1.0279,0,SL
E8,SOL-USDT-SWAP,F1,2026-02-16T13:00:00.000,2026-02-16T14:00:00.000,-115.4938,-1.0257,0,SL
E8,SOL-USDT-SWAP,F5,2026-06-26T14:00:00.000,2026-06-26T16:00:00.000,193.0026,2.0,1,TP
E8,BCH-USDT-SWAP,F5,2026-06-26T14:00:00.000,2026-06-26T16:00:00.000,192.5428,2.0,1,TP
E8,DOGE-USDT-SWAP,F2,2026-03-11T15:00:00.000,2026-03-12T01:00:00.000,-112.8644,-1.0213,0,SL
E8,ADA-USDT-SWAP,F5,2026-07-27T14:00:00.000,2026-07-27T15:00:00.000,-122.9992,-1.0382,0,SL
E8,ARB-USDT-SWAP,F1,2026-02-16T13:00:00.000,2026-02-16T14:00:00.000,-114.0492,-1.0233,0,SL
E8,OP-USDT-SWAP,F3,2026-04-13T15:00:00.000,2026-04-13T18:00:00.000,-115.2288,-1.0253,0,SL
E8,OP-USDT-SWAP,F4,2026-06-12T12:00:00.000,2026-06-12T13:00:00.000,-111.4211,-1.0189,0,SL
E8,OP-USDT-SWAP,F4,2026-06-12T15:00:00.000,2026-06-12T16:00:00.000,-110.0228,-1.0166,0,SL
E8,OP-USDT-SWAP,F5,2026-06-29T15:00:00.000,2026-06-29T17:00:00.000,191.29,2.0,1,TP
E8,NEAR-USDT-SWAP,F4,2026-06-01T13:00:00.000,2026-06-01T17:00:00.000,195.1712,2.0,1,TP
E8,NEAR-USDT-SWAP,F4,2026-06-12T08:00:00.000,2026-06-12T15:00:00.000,-107.3423,-1.0121,0,SL
E8,ATOM-USDT-SWAP,F1,2026-02-05T15:00:00.000,2026-02-05T16:00:00.000,-109.0769,-1.015,0,SL
E8,ATOM-USDT-SWAP,F3,2026-05-16T15:00:00.000,2026-05-16T21:00:00.000,189.9702,2.0,1,TP
E8,SUI-USDT-SWAP,F1,2026-02-16T13:00:00.000,2026-02-16T14:00:00.000,-112.7366,-1.0211,0,SL
E8,SUI-USDT-SWAP,F5,2026-06-26T14:00:00.000,2026-06-27T05:00:00.000,193.1256,2.0,1,TP
E8,WIF-USDT-SWAP,F4,2026-06-26T14:00:00.000,2026-06-26T17:00:00.000,193.7978,2.0,1,TP
